library_plate_id,well_id,concentration,20220519,20220520,catalog_number.reporter,product_name.reporter,target_selleck,target_cc,pval.reporter,pval.image,FDR.reporter,FDR.image,zscore.reporter,zscore.image
1,B02,high,-0.13061740121092738,-0.09458039119348234,S6734,PF-670462,DMSO_ctrl,CK1,0.21452354454389932,0.22094823363336483,0.5688670719685451,0.5409774864688643,-0.11259889620220487,-1.069029814068785
1,B02,low,-0.05258208580364703,-0.059973748714341045,S6734,PF-670462,DMSO_ctrl,CK1,0.4929717117781576,0.00300970777150827,0.0538927719975474,0.7895770626070789,-0.05627791725899404,-6.379381376525042
1,B03,high,0.38821219347424146,0.14163679676463495,S7928,DASA-58,PKM2,PKM,0.06520551779079674,0.8304994980247286,0.9560038539042198,0.3571907455085463,0.2649244951194382,0.15123894755296205
1,B03,low,-0.015498009009520529,-0.07865471825075199,S7928,DASA-58,PKM2,PKM,0.5714606485666965,0.3435514187145349,0.6962778011336123,0.8312313339433309,-0.04707636363013626,0.7060954493970802
1,B04,high,0.5485495011766016,0.9798489806722582,S8024,Tyrphostin AG 1296,PDGFR,ALDH1A1;JAK2;SMN1,0.007926139613922339,0.00984066164310312,0.1050183109724911,0.1393019037146851,0.7641992409244299,-2.48177223220514
1,B04,low,0.3905089222665034,0.24738946487093444,S8024,Tyrphostin AG 1296,PDGFR,ALDH1A1;JAK2;SMN1,0.024309829136650623,0.9827672822849536,0.9954285894444286,0.2360660746403624,0.3189491935687189,-0.02202995518677515
1,B05,high,0.7515278687936502,-0.10474995515596142,S2824,TPCA-1,IKK,IKBKB;JAK2;EIF2AK2,0.26341903490679414,0.00542278624776828,0.07558700014746399,0.5921094646944493,0.3233889568188444,-2.491010309656005
1,B05,low,-0.09783263038066425,-0.25713034904682897,S2824,TPCA-1,IKK,IKBKB;JAK2;EIF2AK2,0.11664424804378093,0.06434189022614631,0.2910298743341585,0.4439800458118123,-0.1774814897137466,-1.3008707078599957
1,B07,high,-0.15536956412424457,0.03848083976773663,S8242,EAI045,EGFR,EGFR,0.557542048183178,0.20895826962053288,0.5483347560323114,0.8234286972117104,-0.058444362178253974,-1.042959713162667
1,B07,low,-0.020095970360388845,-0.07884123524280874,S8242,EAI045,EGFR,EGFR,0.5518168910514624,0.8533799702363077,0.9585500323866888,0.8212133790572873,-0.049468602801598795,0.1225590790904384
1,B09,high,-0.14045219590416247,-0.11756874119558519,S1035,Pazopanib HCl,"VEGFR, PDGFR, c-Kit",CSF1R;FGFR1;FGFR3,0.16660980922450766,0.6745813009179231,0.8868893715629288,0.492970249236863,-0.12901046854987383,0.2586104372821075
1,B09,low,0.0067470460641623166,-0.17553032371350394,S1035,Pazopanib HCl,"VEGFR, PDGFR, c-Kit",CSF1R;FGFR1;FGFR3,0.40186459437691985,0.8450802739488891,0.9560038539042198,0.720469658945187,-0.08439163882467081,-0.1307072496283116
1,B11,low,-0.14868994890776469,-0.1558012058679825,S2626,LY2603618,Chk,CHEK1,0.11835074059188123,0.2615448734105153,0.6096762748784367,0.4439800458118123,-0.1522455773878736,0.7747515986733591
1,B12,high,0.21787360147365534,0.009253205913917414,S1022,"Ridaforolimus (Deforolimus, MK-8669)",mTOR,MTOR,0.297007425977872,0.7642049698341136,0.9349528322115294,0.6162388248918144,0.11356340369378637,-0.275791577290369
1,B12,low,0.0528774315180005,0.09988958975261635,S1022,"Ridaforolimus (Deforolimus, MK-8669)",mTOR,MTOR,0.37215044953495435,0.656091639646669,0.8743621265925364,0.6892295389274693,0.07638351063530842,-0.45119016295438935
1,B13,high,0.033940533919258796,-0.12634276277153506,S2899,GNF-2,Bcr-Abl,ABL1;MAPT;TDP1,0.6209617579735118,0.9297519322119128,0.9781534210793356,0.8598872932147973,-0.046201114426138126,-0.0684962944223575
1,B13,low,-0.05687105584994126,-0.0069055051430461116,S2899,GNF-2,Bcr-Abl,ABL1;MAPT;TDP1,0.6947719806745085,0.6367943127949889,0.8660020303478562,0.9039322068121767,-0.031888280496493684,-0.30557144760637317
1,B15,high,0.028494976012278836,-0.22071375853880634,S2243,Degrasyn (WP1130),"DUB, Bcr-Abl",UCHL1;USP9X,0.3972253216656474,0.9796696878698395,0.9942264440046068,0.7149872032735872,-0.09610939126326376,0.01735155449737509
1,B15,low,-0.042154556772310524,0.009832046102665732,S2243,Degrasyn (WP1130),"DUB, Bcr-Abl",UCHL1;USP9X,0.8411196721998436,0.5036038185273672,0.7916252170492994,0.9470889692225564,-0.016161255334822395,0.40664379346314705
1,B16,high,0.25234558217677766,0.2576664998192756,S7153,10058-F4,c-Myc,ARSA;CBX1;RAB9A,0.032545724132865446,0.793961933863813,0.9520389282418582,0.27094646783884824,0.2550060409980266,-0.20128504074708467
1,B16,low,0.12876662317949616,-0.030259431229305325,S7153,10058-F4,c-Myc,ARSA;CBX1;RAB9A,0.5983452945436045,0.9539372162907768,0.9856870177406968,0.8474883990547092,0.04925359597509542,0.03479684683286389
1,B17,high,-0.09157553592504962,0.08728888953704377,S2926,TDZD-8,GSK-3,KAT2A;VDR;Rorc,0.9818899013758622,0.5194781453203752,0.7989786761214148,0.9954870798852872,-0.0021433231940029274,-0.4218778335250583
1,B17,low,-5.035638017864025e-4,-0.0336981391126588,S2926,TDZD-8,GSK-3,KAT2A;VDR;Rorc,0.8303468022938529,0.5542551403277121,0.8159124492149422,0.9430271438006117,-0.0171008514572226,-0.3776171510605313
1,B19,low,-0.06649266846862559,0.08762100011075312,S8583,TPX-0005,"Src,ALK",ALK;ROS1;NTRK1,0.9073602824102348,0.08215228319724807,0.34688470891295753,0.967458487829523,0.010564165821063766,1.7900287657209593
1,B20,high,-0.3566005724617905,-0.11650067801823295,S3609,Berbamine (dihydrochloride),Bcr-Abl,PDE1A;CYP3A4;HSD17B10,0.08354842763331811,0.135718908541983,0.44318789271438086,0.3959632221992537,-0.23655062524001172,1.041674976038264
1,B20,low,-0.053955390219696794,0.0888151070204123,S3609,Berbamine (dihydrochloride),Bcr-Abl,PDE1A;CYP3A4;HSD17B10,0.845398591968999,0.11088594212224408,0.3990603418254263,0.9499359588416209,0.017429858400357753,1.258062843178462
1,B21,high,-0.10421097257617937,-0.13834236450897927,S1089,"Refametinib (RDEA119, Bay 86-9766)",MEK,MAP2K1;MAP2K2;CHEK1,0.18824431013660015,0.9032297929941796,0.9638873451921492,0.5115401283209513,-0.12127666854257932,-0.08045729522564243
1,B21,low,-0.0877721083855418,-0.1118315555248167,S1089,"Refametinib (RDEA119, Bay 86-9766)",MEK,MAP2K1;MAP2K2;CHEK1,0.25808209995668613,0.9132267546932372,0.9677794778207618,0.5875551586014013,-0.09980183195517925,0.0811215056168797
1,B23,high,0.8875022971059346,0.371937916287451,S2744,CCT137690,Aurora Kinase,AURKA;FLT3;KCNH2,0.02155058124564735,0.23820523238401717,0.5873435874306272,0.2266394321541963,0.6297201066966929,0.7595619997548054
1,B23,low,0.26483639188918007,0.08868533158924732,S2744,CCT137690,Aurora Kinase,AURKA;FLT3;KCNH2,0.12482210235287135,0.2911421111452698,0.6373399420263438,0.45154342000378334,0.17676086173921368,0.7786964712113426
1,C02,high,0.43453920244994815,-0.0773836792198598,S8189,BAW2881 (NVP-BAW2881),"VEGFR,Raf,c-RET",KDR,0.3266252403155974,0.3589898718850351,0.7096402970848491,0.6401976132208131,0.17857776161504418,0.712258853327298
1,C02,low,0.03061257161900429,0.17771458278784136,S8189,BAW2881 (NVP-BAW2881),"VEGFR,Raf,c-RET",KDR,0.2903614840629578,0.2506549395099107,0.6017480621626328,0.6128867263715139,0.10416357720342283,-0.743486515806539
1,C03,high,11.063177451372633,5.15374678729644,S7193,1-Azakenpaullone,GSK-3,GSK3B;ABL1;CDK2,0.010467770158816317,0.00902984310136968,0.09947391674573372,0.16129755733877385,8.108462119334536,2.400418659292264
1,C03,low,1.3163265812121245,1.3315880516143244,S7193,1-Azakenpaullone,GSK-3,GSK3B;ABL1;CDK2,1.59198928645297e-4,0.30985543176527414,0.6552051389959203,0.06266674425174981,1.3239573164132246,1.0889967351093504
1,C05,high,-0.11904233140125545,-0.3475621150271607,S8003,PQ 401,IGF-1R,IGF1R,0.08213364424275568,0.9105893842134992,0.9657337723879192,0.39330953235106436,-0.23330222321420807,-0.09214328940463086
1,C05,low,-0.11852498524449831,0.08151451566168641,S8003,PQ 401,IGF-1R,IGF1R,0.8505312359289238,0.5236030154798103,0.8027404255279694,0.950593734273503,-0.01850523479140595,-0.4464676773460028
1,C06,high,-0.170658020121493,0.022560043138776607,S7284,CO-1686 (AVL-301),EGFR,EGFR;ERBB3;BTK,0.4641141029377219,0.2338843943768612,0.5850706389284478,0.7676993279181611,-0.0740489884913582,0.7571213311941385
1,C06,low,0.0210382669164787,0.07964708857904512,S7284,CO-1686 (AVL-301),EGFR,EGFR;ERBB3;BTK,0.5451696273985174,0.17016217478742687,0.48627935305360903,0.8183687925928583,0.05034267774776191,1.1308818807716765
1,C07,high,0.0035610442680476207,0.06469850649769744,S2845,Semaxanib (SU5416),VEGFR,FLT1;FLT4;KDR,0.677438532405321,0.06880835753757125,0.3041819300851855,0.8946260894444722,0.03412977538287253,1.3930038602691763
1,C07,low,0.030139991795295962,0.024433950018636585,S2845,Semaxanib (SU5416),VEGFR,FLT1;FLT4;KDR,0.7321067812144142,0.3765851893489027,0.7204697039924386,0.9146997639699049,0.027286970906966274,0.6677655890774982
1,C09,high,-0.0294601091222282,-0.23849182302350272,S3980,Pyridoxine,Vitamin,CYP1A1,0.23248989013610272,0.0913647827286298,0.364924833939498,0.560031589976688,-0.13397596607286547,1.2247586551905132
1,C09,low,0.008383091869796768,-0.3548564185516155,S3980,Pyridoxine,Vitamin,CYP1A1,0.24089019949991822,0.8164084314469506,0.9548064360929236,0.5698211191428775,-0.17323666334090937,0.15251418058235014
1,C10,high,-0.13458554864098998,-0.15314423376050507,S7007,"MEK162 (ARRY-162, ARRY-438162)",MEK,MAP2K1;MAP2K2;NQO2,0.13392375494688738,0.0700472324854936,0.30865974056511053,0.4607540782380947,-0.14386489120074752,1.297147313152024
1,C10,low,6.911833719433023e-4,-0.199806152891321,S7007,"MEK162 (ARRY-162, ARRY-438162)",MEK,MAP2K1;MAP2K2;NQO2,0.34554657577751613,0.08474387100657634,0.3490303554615922,0.6595092563934675,-0.09955748475968886,1.311091222416732
1,C11,high,-0.21211669812886613,0.4294251107884143,S8023,TCS 359,FLT3,FLT3,0.5988492532992435,0.3572085318187604,0.7081957249120852,0.8474933341507028,0.10865420632977407,-0.678574017797239
1,C11,low,-0.045886479451266365,0.22690437201308952,S8023,TCS 359,FLT3,FLT3,0.4404689552954398,0.881597471945274,0.9620346591822287,0.7497570837111239,0.09050894628091158,0.14997505178059992
1,C13,high,0.030620232878358033,-0.16562688893669011,S3926,Forsythin,Others,Others,0.5036144680575885,0.1685137920604809,0.4856325737439175,0.7967913826957644,-0.06750332802916605,0.8940971444930073
1,C13,low,0.0018133125280881514,-0.00666023796914402,S3926,Forsythin,Others,Others,0.9755200675762378,0.4393572763726107,0.7604661478610425,0.993252735996016,-0.002423462720527934,0.4769089668773645
1,C15,low,1.0167605437891336,0.2110566813360267,S7765,Dovitinib (TKI258) Lactate,"FLT3,c-Kit,FGFR,PDGFR,VEGFR",FGFR3;FLT1;FLT3,0.06500135368117867,0.24344533856544773,0.59384979752029865,0.3571907455085463,0.6139086125625801,0.7384993236963072
1,C17,high,0.41027624724170125,0.05060146061130798,S2391,Quercetin,"PI3K, PKC, Src, Sirtuin",NR1I2;ABCG2;AKR1B1,0.14266337321443776,0.00258236337180411,0.05039297665549166,0.4693384362957216,0.23043885392650462,-3.2788950913986894
1,C17,low,0.15593726376944866,0.19723937089199353,S2391,Quercetin,"PI3K, PKC, Src, Sirtuin",NR1I2;ABCG2;AKR1B1,0.08685305238586163,0.6387398537054141,0.8664534659002935,0.4001517512373928,0.1765883173307211,0.3287336129490806
1,C18,high,0.12858629217219678,-0.1311099167856079,S2686,NVP-BSK805 2HCl,JAK,JAK2;ABL1;YES1,0.9907668945847405,0.5669669131497513,0.824409951329593,0.9954870798852872,-0.0012618123067055648,0.3686817423792513
1,C18,low,0.13520707886063835,0.10215692814344524,S2686,NVP-BSK805 2HCl,JAK,JAK2;ABL1;YES1,0.19546672969183285,0.8921240771589346,0.9638873451921492,0.5211622413654556,0.11868200350204179,-0.11756674528778135
1,C19,high,0.39456187292180933,-0.04092254617892159,S7694,AZD8186,PI3K,PIK3CA;PIK3CB;PIK3CD,0.28109903362841354,0.14708454941366161,0.453468339268179,0.6037045437090877,0.17681966337144386,1.017159678274807
1,C19,low,0.06491415210252963,0.011963955845178243,S7694,AZD8186,PI3K,PIK3CA;PIK3CB;PIK3CD,0.6387306542288642,0.49612753300584145,0.7863786820337973,0.8718830577052022,0.038439053973853936,0.43113452243530226
1,C21,high,0.1453840589943919,-0.0016928665990002486,S7720,SBE 13 HCl,PLK,Impa1,0.4453036549290625,0.976720085363281,0.9919699900418156,0.7549400387824702,0.07184559619769583,0.02658667700932089
1,C21,low,0.16105111365940436,-0.00410514309246372,S7720,SBE 13 HCl,PLK,Impa1,0.4204441902959529,0.492077060663615,0.7825172607600349,0.7340777628955095,0.07847298528347033,0.44210455266721554
1,C22,high,0.0023129360756210713,-0.14455344135093573,S8201,BI-78D3,JNK,MAPK8,0.44937198290787,0.336562896582065,0.6894678772938291,0.7600044201705677,-0.07112025263765732,0.7034792950804327
1,C22,low,0.00412772780798444,0.11774725581952039,S8201,BI-78D3,JNK,MAPK8,0.49306448148578613,0.7865260873549466,0.9488148898027016,0.7895770626070789,0.060937491813752416,0.1921829045858061
1,C23,high,-0.25394082277966973,-0.0018648209004372095,S7173,AVL-292,BTK,BTK;JAK3;TEC,0.2806835151254937,0.3639700759834817,0.7133186854999081,0.6037045437090877,-0.12790282184005347,0.5834373721025609
1,C23,low,-0.14485367874860075,0.0031054537381937494,S7173,AVL-292,BTK,BTK;JAK3;TEC,0.4514990461018891,0.04358373543512378,0.22986634210184975,0.7613089709381341,-0.07087411250520351,1.4631573850084092
1,D04,high,-0.5552597985225217,-1.4051378006224895,additional,Vinblastine,Microtubles,Microtubles,0.020503922324852698,0.7413015749181768,0.9213994097709096,0.2215381613618405,-0.9801987995725057,0.28650933756176744
1,D04,low,-0.6861524427421188,-0.8858188533938219,additional,Vinblastine,Microtubles,Microtubles,0.0018981512227280541,0.14513981842212714,0.4514567950659936,0.08195834360595228,-0.7859856480679703,1.2294423593589885
1,D05,high,-0.07425570241297388,-0.22891748018172298,S2893,NU7026,DNA-PK,PRKDC,0.1587662358959903,0.6653840745586437,0.8804075349234511,0.4838699299200051,-0.15158659129734842,0.27748706860500244
